iter	Passed	Remaining
1054	6536	24441
1055	6540	24429
1056	6545	24417
1057	6550	24405
1058	6554	24393
1059	6559	24381
1060	6563	24368
1061	6568	24356
1062	6572	24344
1063	6577	24332
1064	6582	24320
1065	6586	24306
1066	6591	24294
1067	6595	24282
1068	6600	24271
1069	6604	24258
1070	6609	24247
1071	6614	24235
1072	6619	24226
1073	6624	24215
1074	6629	24204
1075	6634	24194
1076	6639	24184
1077	6643	24172
1078	6648	24161
1079	6653	24151
1080	6658	24140
1081	6663	24129
1082	6667	24116
1083	6672	24104
1084	6677	24092
1085	6681	24080
1086	6686	24069
1087	6690	24056
1088	6695	24044
1089	6699	24032
1090	6704	24020
1091	6708	24008
1092	6712	23995
1093	6717	23983
1094	6721	23971
1095	6726	23960
1096	6731	23948
1097	6735	23936
1098	6740	23924
1099	6744	23912
1100	6749	23901
1101	6753	23888
1102	6757	23876
1103	6762	23865
1104	6767	23853
1105	6771	23841
1106	6776	23829
1107	6780	23818
1108	6785	23807
1109	6790	23796
1110	6794	23784
1111	6799	23773
1112	6803	23761
1113	6808	23749
1114	6812	23737
1115	6817	23725
1116	6821	23713
1117	6826	23702
1118	6830	23689
1119	6835	23678
1120	6839	23666
1121	6843	23654
1122	6848	23642
1123	6852	23630
1124	6857	23619
1125	6861	23607
1126	6866	23596
1127	6870	23584
1128	6875	23572
1129	6879	23560
1130	6883	23549
1131	6888	23537
1132	6893	23526
1133	6897	23515
1134	6902	23503
1135	6906	23491
1136	6911	23480
1137	6915	23469
1138	6920	23458
1139	6924	23446
1140	6929	23435
1141	6933	23423
1142	6938	23412
1143	6942	23400
1144	6946	23389
1145	6951	23377
1146	6955	23366
1147	6960	23354
1148	6964	23343
1149	6969	23332
1150	6973	23320
1151	6977	23308
1152	6982	23296
1153	6987	23286
1154	6991	23274
1155	6995	23263
1156	7000	23251
1157	7004	23241
1158	7009	23229
1159	7014	23219
1160	7018	23207
1161	7023	23196
1162	7027	23185
1163	7031	23174
1164	7036	23162
1165	7040	23151
1166	7045	23139
1167	7049	23128
1168	7053	23117
1169	7058	23105
1170	7062	23094
1171	7067	23082
1172	7071	23071
1173	7076	23060
1174	7080	23050
1175	7085	23039
1176	7089	23028
1177	7094	23018
1178	7099	23007
1179	7103	22996
1180	7107	22984
1181	7112	22973
1182	7116	22963
1183	7121	22951
1184	7126	22942
1185	7131	22933
1186	7136	22923
1187	7141	22914
1188	7145	22904
1189	7150	22894
1190	7155	22885
1191	7160	22874
1192	7164	22863
1193	7169	22852
1194	7173	22841
1195	7178	22831
1196	7182	22820
1197	7187	22809
1198	7191	22798
1199	7195	22786
1200	7200	22776
1201	7204	22765
1202	7209	22755
1203	7214	22744
1204	7218	22734
1205	7223	22723
1206	7227	22712
1207	7232	22702
1208	7236	22691
1209	7241	22680
1210	7245	22670
1211	7250	22659
1212	7254	22648
1213	7259	22638
1214	7263	22627
1215	7268	22617
1216	7273	22609
1217	7278	22599
1218	7282	22589
1219	7287	22579
1220	7292	22570
1221	7296	22559
1222	7301	22548
1223	7305	22538
1224	7310	22527
1225	7314	22517
1226	7319	22506
1227	7323	22495
1228	7327	22484
1229	7332	22474
1230	7336	22463
1231	7341	22453
1232	7346	22443
1233	7350	22433
1234	7355	22422
1235	7359	22412
1236	7364	22402
1237	7368	22392
1238	7373	22382
1239	7377	22371
1240	7382	22361
1241	7386	22350
1242	7391	22340
1243	7395	22329
1244	7400	22319
1245	7404	22309
1246	7409	22299
1247	7413	22288
1248	7418	22278
1249	7422	22268
1250	7427	22258
1251	7432	22248
1252	7436	22238
1253	7440	22227
1254	7445	22217
1255	7449	22207
1256	7454	22197
1257	7458	22186
1258	7463	22177
1259	7467	22166
1260	7472	22156
1261	7477	22146
1262	7481	22136
1263	7485	22125
1264	7490	22116
1265	7495	22106
1266	7499	22095
1267	7504	22086
1268	7508	22075
1269	7513	22065
1270	7517	22055
1271	7522	22045
1272	7526	22036
1273	7531	22028
1274	7537	22020
1275	7542	22011
1276	7547	22002
1277	7551	21993
1278	7556	21985
1279	7561	21974
1280	7565	21964
1281	7570	21954
1282	7574	21944
1283	7578	21934
1284	7583	21923
1285	7587	21913
1286	7592	21904
1287	7597	21894
1288	7601	21884
1289	7606	21874
1290	7610	21864
1291	7614	21854
1292	7619	21844
1293	7623	21834
1294	7628	21824
1295	7632	21815
1296	7637	21805
1297	7641	21794
1298	7646	21785
1299	7650	21774
1300	7655	21765
1301	7659	21755
1302	7664	21745
1303	7668	21735
1304	7673	21725
1305	7677	21716
1306	7682	21706
1307	7686	21696
1308	7691	21687
1309	7695	21678
1310	7700	21668
1311	7704	21658
1312	7709	21648
1313	7713	21638
1314	7718	21628
1315	7722	21619
1316	7727	21609
1317	7731	21600
1318	7736	21589
1319	7740	21580
1320	7745	21570
1321	7749	21561
1322	7754	21552
1323	7759	21542
1324	7763	21532
1325	7768	21523
1326	7772	21513
1327	7777	21504
1328	7781	21495
1329	7786	21486
1330	7791	21477
1331	7795	21467
1332	7800	21458
1333	7805	21449
1334	7809	21440
1335	7813	21429
1336	7818	21420
1337	7822	21410
1338	7827	21401
1339	7831	21391
1340	7836	21381
1341	7840	21371
1342	7845	21362
1343	7849	21352
1344	7854	21343
1345	7859	21335
1346	7863	21325
1347	7868	21316
1348	7873	21308
1349	7878	21300
1350	7883	21292
1351	7887	21283
1352	7892	21275
1353	7897	21266
1354	7902	21258
1355	7907	21249
